Electric can opener,"D423,311",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=156&f=G&l=50&d=PTXT&s1=%22Can+Opener%22.TI.&p=4&OS=TTL/%22Can+Opener%22&RS=TTL/%22Can+Opener%22
Can opener,"D422,468",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=157&f=G&l=50&d=PTXT&s1=%22Can+Opener%22.TI.&p=4&OS=TTL/%22Can+Opener%22&RS=TTL/%22Can+Opener%22
Cordless electric can opener,"D421,205",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=158&f=G&l=50&d=PTXT&s1=%22Can+Opener%22.TI.&p=4&OS=TTL/%22Can+Opener%22&RS=TTL/%22Can+Opener%22
Can opener,"D418,728",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=159&f=G&l=50&d=PTXT&s1=%22Can+Opener%22.TI.&p=4&OS=TTL/%22Can+Opener%22&RS=TTL/%22Can+Opener%22
Can opener,"D418,029",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=160&f=G&l=50&d=PTXT&s1=%22Can+Opener%22.TI.&p=4&OS=TTL/%22Can+Opener%22&RS=TTL/%22Can+Opener%22
Can opener,"D415,666",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=161&f=G&l=50&d=PTXT&s1=%22Can+Opener%22.TI.&p=4&OS=TTL/%22Can+Opener%22&RS=TTL/%22Can+Opener%22
Cutter wheel type can opener,"5,970,618",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=162&f=G&l=50&d=PTXT&s1=%22Can+Opener%22.TI.&p=4&OS=TTL/%22Can+Opener%22&RS=TTL/%22Can+Opener%22
Side cutting can opener with a double grip,"5,946,811",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=163&f=G&l=50&d=PTXT&s1=%22Can+Opener%22.TI.&p=4&OS=TTL/%22Can+Opener%22&RS=TTL/%22Can+Opener%22
Can opener,"D413,054",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=164&f=G&l=50&d=PTXT&s1=%22Can+Opener%22.TI.&p=4&OS=TTL/%22Can+Opener%22&RS=TTL/%22Can+Opener%22
Can opener,"5,931,058",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=166&f=G&l=50&d=PTXT&s1=%22Can+Opener%22.TI.&p=4&OS=TTL/%22Can+Opener%22&RS=TTL/%22Can+Opener%22
Can opener,"D411,789",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=167&f=G&l=50&d=PTXT&s1=%22Can+Opener%22.TI.&p=4&OS=TTL/%22Can+Opener%22&RS=TTL/%22Can+Opener%22
Can opener apparatus for pull-ring containers,"5,913,953",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=168&f=G&l=50&d=PTXT&s1=%22Can+Opener%22.TI.&p=4&OS=TTL/%22Can+Opener%22&RS=TTL/%22Can+Opener%22
Can opener,"D410,827",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=169&f=G&l=50&d=PTXT&s1=%22Can+Opener%22.TI.&p=4&OS=TTL/%22Can+Opener%22&RS=TTL/%22Can+Opener%22
Can opener,"D409,888",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=171&f=G&l=50&d=PTXT&s1=%22Can+Opener%22.TI.&p=4&OS=TTL/%22Can+Opener%22&RS=TTL/%22Can+Opener%22
Can opener,"D410,180",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=170&f=G&l=50&d=PTXT&s1=%22Can+Opener%22.TI.&p=4&OS=TTL/%22Can+Opener%22&RS=TTL/%22Can+Opener%22
Can opener,"D409,063",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=172&f=G&l=50&d=PTXT&s1=%22Can+Opener%22.TI.&p=4&OS=TTL/%22Can+Opener%22&RS=TTL/%22Can+Opener%22
