patent_name,patent_id_str,uspto_link,patent_id,google_url
Can Lid Lifter for Opener,"6,671,970",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=101&f=G&l=50&d=PTXT&s1=%22Can+Opener%22.TI.&p=3&OS=TTL/%22Can+Opener%22&RS=TTL/%22Can+Opener%22,6671970,https://patents.google.com/patent/US6671970
Battery Operated Can Opener,"6,516,524",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=106&f=G&l=50&d=PTXT&s1=%22Can+Opener%22.TI.&p=3&OS=TTL/%22Can+Opener%22&RS=TTL/%22Can+Opener%22,6516524,https://patents.google.com/patent/US6516524
Ergonomic Can Opener,"6,510,613",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=107&f=G&l=50&d=PTXT&s1=%22Can+Opener%22.TI.&p=3&OS=TTL/%22Can+Opener%22&RS=TTL/%22Can+Opener%22,6510613,https://patents.google.com/patent/US6510613
Electric Can Opener,"6,505,405",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=109&f=G&l=50&d=PTXT&s1=%22Can+Opener%22.TI.&p=3&OS=TTL/%22Can+Opener%22&RS=TTL/%22Can+Opener%22,6505405,https://patents.google.com/patent/US6505405
Key Chain Bottle Top And Can Opener,"D465,979",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=111&f=G&l=50&d=PTXT&s1=%22Can+Opener%22.TI.&p=3&OS=TTL/%22Can+Opener%22&RS=TTL/%22Can+Opener%22,D465979,https://patents.google.com/patent/USD465979
Can Opener,"D460,330",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=113&f=G&l=50&d=PTXT&s1=%22Can+Opener%22.TI.&p=3&OS=TTL/%22Can+Opener%22&RS=TTL/%22Can+Opener%22,D460330,https://patents.google.com/patent/USD460330
Household Can Opener,"D459,962",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=114&f=G&l=50&d=PTXT&s1=%22Can+Opener%22.TI.&p=3&OS=TTL/%22Can+Opener%22&RS=TTL/%22Can+Opener%22,D459962,https://patents.google.com/patent/USD459962
Handheld Can Opener,"6,374,502",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=118&f=G&l=50&d=PTXT&s1=%22Can+Opener%22.TI.&p=3&OS=TTL/%22Can+Opener%22&RS=TTL/%22Can+Opener%22,6374502,https://patents.google.com/patent/US6374502
Under Cabinet Can Opener,"D452,803",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=124&f=G&l=50&d=PTXT&s1=%22Can+Opener%22.TI.&p=3&OS=TTL/%22Can+Opener%22&RS=TTL/%22Can+Opener%22,D452803,https://patents.google.com/patent/USD452803
Flip Top Can Opener,"6,311,580",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=126&f=G&l=50&d=PTXT&s1=%22Can+Opener%22.TI.&p=3&OS=TTL/%22Can+Opener%22&RS=TTL/%22Can+Opener%22,6311580,https://patents.google.com/patent/US6311580
Electric Can Opener With Horizontal Blade,"6,298,563",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=127&f=G&l=50&d=PTXT&s1=%22Can+Opener%22.TI.&p=3&OS=TTL/%22Can+Opener%22&RS=TTL/%22Can+Opener%22,6298563,https://patents.google.com/patent/US6298563
Key Chain bottle top and Tab,"D447,675",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=128&f=G&l=50&d=PTXT&s1=%22Can+Opener%22.TI.&p=3&OS=TTL/%22Can+Opener%22&RS=TTL/%22Can+Opener%22,D447675,https://patents.google.com/patent/USD447675
Can Opener with Side cutting Mechanism,"6,189,221",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=137&f=G&l=50&d=PTXT&s1=%22Can+Opener%22.TI.&p=3&OS=TTL/%22Can+Opener%22&RS=TTL/%22Can+Opener%22,6189221,https://patents.google.com/patent/US6189221
Can Opener Appliance,"D435,767",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=140&f=G&l=50&d=PTXT&s1=%22Can+Opener%22.TI.&p=3&OS=TTL/%22Can+Opener%22&RS=TTL/%22Can+Opener%22,D435767,https://patents.google.com/patent/USD435767
Industrial Can Opener,"6,158,130",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=141&f=G&l=50&d=PTXT&s1=%22Can+Opener%22.TI.&p=3&OS=TTL/%22Can+Opener%22&RS=TTL/%22Can+Opener%22,6158130,https://patents.google.com/patent/US6158130
Flip Top Can Opener,"D432,377",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=144&f=G&l=50&d=PTXT&s1=%22Can+Opener%22.TI.&p=3&OS=TTL/%22Can+Opener%22&RS=TTL/%22Can+Opener%22,D432377,https://patents.google.com/patent/USD432377
